SessionID,Episode,ObjectiveControl,UnitCountDiff,ResourceDiff
session_20250326_204905,498,0,0,0
session_20250326_204905,499,0,1,-50
session_20250326_204905,500,0,0,0
session_20250326_204905,501,0,0,100
session_20250326_204905,502,0,0,0
session_20250326_204905,503,0,1,-200
session_20250326_204905,504,0,1,-300
session_20250326_204905,505,0,1,-200
session_20250326_204905,506,0,1,-300
session_20250326_204905,507,0,2,-500
session_20250326_204905,508,0,2,-600
session_20250326_204905,509,0,2,-500
session_20250326_204905,510,0,2,-600
session_20250326_204905,511,0,2,-500
session_20250326_204905,512,0,2,-600
session_20250326_204905,513,0,2,-500
session_20250326_204905,514,0,2,-600
session_20250326_204905,515,0,2,-500
session_20250326_204905,516,0,2,-600
session_20250326_204905,517,0,2,-800
session_20250326_204905,518,0,2,-900
session_20250326_204905,519,1,3,-1000
session_20250326_204905,520,2,3,-1100
session_20250326_204905,521,3,3,-900
session_20250326_204905,522,4,3,-1000
session_20250326_204905,523,5,3,-800
session_20250326_204905,524,6,3,-900
session_20250326_204905,525,7,4,-1000
session_20250326_204905,526,8,4,-1100
session_20250326_204905,527,0,1,-50
session_20250326_204905,528,0,0,0
session_20250326_204905,529,0,0,100
session_20250326_204905,530,0,0,0
session_20250326_204905,531,0,1,-50
session_20250326_204905,532,0,0,0
session_20250326_204905,533,0,0,100
session_20250326_204905,534,0,0,0
session_20250326_204905,535,0,1,-200
session_20250326_204905,536,0,1,-300
session_20250326_204905,537,0,1,-200
session_20250326_204905,538,0,1,-300
session_20250326_204905,539,0,2,-500
session_20250326_204905,540,0,2,-600
session_20250326_204905,541,0,2,-500
session_20250326_204905,542,0,2,-600
session_20250326_204905,543,0,2,-500
session_20250326_204905,544,0,2,-600
session_20250326_204905,545,0,2,-500
session_20250326_204905,546,0,2,-600
session_20250326_204905,547,0,2,-500
session_20250326_204905,548,0,2,-600
session_20250326_204905,549,0,2,-500
session_20250326_204905,550,0,2,-600
session_20250326_204905,551,0,2,-500
session_20250326_204905,552,0,2,-600
session_20250326_204905,553,0,2,-500
session_20250326_204905,554,0,1,-300
session_20250326_204905,555,0,1,-200
session_20250326_204905,556,0,1,-300
session_20250326_204905,557,0,1,-200
session_20250326_204905,558,0,1,-300
session_20250326_204905,559,0,1,-200
session_20250326_204905,560,0,1,-300
session_20250326_204905,561,0,1,-200
session_20250326_204905,562,0,1,-300
session_20250326_204905,563,0,1,-200
session_20250326_204905,564,0,1,-300
session_20250326_204905,565,0,1,-200
session_20250326_204905,566,0,1,-300
session_20250326_204905,567,0,2,-200
session_20250326_204905,568,0,1,-50
session_20250326_204905,569,0,0,0
session_20250326_204905,570,0,0,100
session_20250326_204905,571,0,0,0
session_20250326_204905,572,0,1,-50
session_20250326_204905,573,0,0,0
session_20250326_204905,574,0,0,100
session_20250326_204905,575,0,0,0
session_20250326_204905,576,0,1,-200
session_20250326_204905,577,0,1,-300
session_20250326_204905,578,0,1,-200
session_20250326_204905,579,0,1,-300
session_20250326_204905,580,0,2,-500
session_20250326_204905,581,0,2,-600
session_20250326_204905,582,0,2,-500
session_20250326_204905,583,0,2,-600
session_20250326_204905,584,0,2,-500
session_20250326_204905,585,0,2,-600
session_20250326_204905,586,0,2,-500
session_20250326_204905,587,0,2,-600
session_20250326_204905,588,0,2,-500
session_20250326_204905,589,0,2,-600
session_20250326_204905,590,0,2,-500
session_20250326_204905,591,0,2,-600
session_20250326_204905,592,1,2,-500
session_20250326_204905,593,2,2,-600
session_20250326_204905,594,3,2,-500
session_20250326_204905,595,4,2,-600
session_20250326_204905,596,5,2,-500
session_20250326_204905,597,6,2,-600
session_20250326_204905,598,7,2,-500
session_20250326_204905,599,8,2,-600
session_20250326_204905,600,0,1,-50
session_20250326_204905,601,0,0,0
session_20250326_204905,602,0,0,100
session_20250326_204905,603,0,0,0
session_20250326_204905,604,0,1,-50
session_20250326_204905,605,0,0,0
session_20250326_204905,606,0,0,100
session_20250326_204905,607,0,0,0
session_20250326_204905,608,0,1,-200
session_20250326_204905,609,0,1,-300
session_20250326_204905,610,0,1,-200
session_20250326_204905,611,0,1,-300
session_20250326_204905,612,0,2,-500
session_20250326_204905,613,0,2,-600
session_20250326_204905,614,0,2,-500
session_20250326_204905,615,0,2,-600
session_20250326_204905,616,0,2,-500
session_20250326_204905,617,0,2,-600
session_20250326_204905,618,0,2,-500
session_20250326_204905,619,0,2,-600
session_20250326_204905,620,0,2,-500
session_20250326_204905,621,0,2,-600
session_20250326_204905,622,0,2,-500
session_20250326_204905,623,0,2,-600
session_20250326_204905,624,1,2,-500
session_20250326_204905,625,2,2,-600
session_20250326_204905,626,3,2,-500
session_20250326_204905,627,4,2,-600
session_20250326_204905,628,5,2,-500
session_20250326_204905,629,6,2,-600
session_20250326_204905,630,7,2,-500
session_20250326_204905,631,8,2,-600
session_20250326_204905,632,0,1,-50
session_20250326_204905,633,0,0,0
session_20250326_204905,634,0,0,100
session_20250326_204905,635,0,0,0
session_20250326_204905,636,0,1,-50
session_20250326_204905,637,0,0,0
session_20250326_204905,638,0,0,100
session_20250326_204905,639,0,0,0
session_20250326_204905,640,0,1,-200
session_20250326_204905,641,0,1,-300
session_20250326_204905,642,0,1,-200
session_20250326_204905,643,0,1,-300
session_20250326_204905,644,0,2,-500
session_20250326_204905,645,0,2,-600
session_20250326_204905,646,0,2,-500
session_20250326_204905,647,0,2,-600
session_20250326_204905,648,0,2,-500
session_20250326_204905,649,0,2,-600
session_20250326_204905,650,0,2,-500
session_20250326_204905,651,0,2,-600
session_20250326_204905,652,0,2,-500
session_20250326_204905,653,0,2,-600
session_20250326_204905,654,0,2,-500
session_20250326_204905,655,0,2,-600
session_20250326_204905,656,0,2,-500
session_20250326_204905,657,0,2,-600
session_20250326_204905,658,0,2,-500
session_20250326_204905,659,0,2,-600
session_20250326_204905,660,0,2,-500
session_20250326_204905,661,0,2,-600
session_20250326_204905,662,0,2,-500
session_20250326_204905,663,0,2,-600
session_20250326_204905,664,1,2,-500
session_20250326_204905,665,2,2,-600
session_20250326_204905,666,3,2,-500
session_20250326_204905,667,4,2,-600
session_20250326_204905,668,5,3,-500
session_20250326_204905,669,6,3,-600
session_20250326_204905,670,7,3,-500
session_20250326_204905,671,8,3,-600
session_20250326_204905,672,0,1,-50
session_20250326_204905,673,0,0,0
session_20250326_204905,674,0,0,100
session_20250326_204905,675,0,0,0
session_20250326_204905,676,0,1,-50
session_20250326_204905,677,0,0,0
session_20250326_204905,678,0,0,100
session_20250326_204905,679,0,0,0
session_20250326_204905,680,0,1,-200
session_20250326_204905,681,0,1,-300
session_20250326_204905,682,0,1,-200
session_20250326_204905,683,0,0,0
session_20250326_204905,684,0,1,-200
session_20250326_204905,685,0,1,-300
session_20250326_204905,686,0,1,-200
session_20250326_204905,687,0,1,-300
session_20250326_204905,688,0,1,-200
session_20250326_204905,689,0,1,-300
session_20250326_204905,690,0,1,-200
session_20250326_204905,691,0,1,-300
session_20250326_204905,692,0,1,-200
session_20250326_204905,693,0,1,-300
session_20250326_204905,694,0,1,-200
session_20250326_204905,695,0,1,-300
session_20250326_204905,696,0,1,-200
session_20250326_204905,697,0,1,-300
session_20250326_204905,698,0,1,-200
session_20250326_204905,699,0,1,-300
session_20250326_204905,700,0,1,-200
session_20250326_204905,701,0,1,-300
session_20250326_204905,702,0,1,-200
session_20250326_204905,703,0,1,-300
session_20250326_204905,704,1,1,-200
session_20250326_204905,705,2,1,-300
session_20250326_204905,706,3,1,-200
session_20250326_204905,707,4,1,-300
session_20250326_204905,708,5,1,-200
session_20250326_204905,709,6,1,-300
session_20250326_204905,710,7,1,-200
session_20250326_204905,711,8,1,-300
session_20250326_204905,712,0,1,-50
session_20250326_204905,713,0,0,0
session_20250326_204905,714,0,0,100
session_20250326_204905,715,0,0,0
session_20250326_204905,716,0,1,-50
session_20250326_204905,717,0,0,0
session_20250326_204905,718,0,0,100
session_20250326_204905,719,0,0,0
session_20250326_204905,720,0,1,-200
session_20250326_204905,721,0,1,-300
session_20250326_204905,722,0,1,-200
session_20250326_204905,723,0,1,-300
session_20250326_204905,724,0,2,-500
session_20250326_204905,725,0,1,-300
session_20250326_204905,726,0,1,-200
session_20250326_204905,727,0,1,-300
session_20250326_204905,728,0,1,-200
session_20250326_204905,729,0,1,-300
session_20250326_204905,730,0,1,-200
session_20250326_204905,731,0,1,-300
session_20250326_204905,732,0,1,-200
session_20250326_204905,733,0,1,-300
session_20250326_204905,734,0,1,-200
session_20250326_204905,735,0,1,-300
session_20250326_204905,736,1,1,-200
session_20250326_204905,737,2,1,-300
session_20250326_204905,738,3,1,-500
session_20250326_204905,739,4,1,-600
session_20250326_204905,740,5,1,-400
session_20250326_204905,741,6,1,-500
session_20250326_204905,742,7,2,-600
session_20250326_204905,743,8,2,-700
session_20250326_204905,744,0,1,-50
session_20250326_204905,745,0,0,0
session_20250326_204905,746,0,0,100
session_20250326_204905,747,0,0,0
session_20250326_204905,748,0,1,-50
session_20250326_204905,749,0,0,0
session_20250326_204905,750,0,0,100
session_20250326_204905,751,0,0,0
session_20250326_204905,752,0,1,-200
session_20250326_204905,753,0,1,-300
session_20250326_204905,754,0,1,-200
session_20250326_204905,755,0,1,-300
session_20250326_204905,756,0,2,-500
session_20250326_204905,757,0,2,-600
session_20250326_204905,758,0,2,-500
session_20250326_204905,759,0,2,-600
session_20250326_204905,760,0,2,-500
session_20250326_204905,761,0,2,-600
session_20250326_204905,762,0,2,-500
