SessionID,Game,Win,Turns
session_20250326_204905,297,1,16
session_20250326_204905,298,1,25
session_20250326_204905,299,1,24
session_20250326_204905,300,1,16
session_20250326_204905,301,0,21
session_20250326_204905,302,1,19
session_20250326_204905,303,1,20
session_20250326_204905,304,1,23
session_20250326_204905,305,1,16
session_20250326_204905,306,1,23
session_20250326_204905,307,1,16
session_20250326_204905,308,1,17
session_20250326_204905,309,1,20
session_20250326_204905,310,1,20
session_20250326_204905,311,1,16
session_20250326_204905,312,1,20
session_20250326_204905,313,1,20
session_20250326_204905,314,0,22
session_20250326_204905,315,1,16
session_20250326_204905,316,1,19
session_20250326_204905,317,1,16
session_20250326_204905,318,1,20
session_20250326_204905,319,1,21
session_20250326_204905,320,1,20
session_20250326_204905,321,1,17
session_20250326_204905,322,1,20
session_20250326_204905,323,1,22
session_20250326_204905,324,1,18
session_20250326_204905,325,1,17
session_20250326_204905,326,1,16
session_20250326_204905,327,1,20
session_20250326_204905,328,1,16
session_20250326_204905,329,1,25
session_20250326_204905,330,1,16
session_20250326_204905,331,1,24
session_20250326_204905,332,1,23
session_20250326_204905,333,1,16
session_20250326_204905,334,1,16
session_20250326_204905,335,1,16
session_20250326_204905,336,1,16
session_20250326_204905,337,1,23
session_20250326_204905,338,1,16
session_20250326_204905,339,1,16
session_20250326_204905,340,1,16
session_20250326_204905,341,1,19
session_20250326_204905,342,1,16
session_20250326_204905,343,0,21
session_20250326_204905,344,1,18
session_20250326_204905,345,0,25
session_20250326_204905,346,1,22
session_20250326_204905,347,1,17
session_20250326_204905,348,1,16
session_20250326_204905,349,1,22
session_20250326_204905,350,1,23
session_20250326_204905,351,1,22
session_20250326_204905,352,1,16
session_20250326_204905,353,1,20
session_20250326_204905,354,0,21
session_20250326_204905,355,1,26
session_20250326_204905,356,0,21
session_20250326_204905,357,0,21
session_20250326_204905,358,1,24
session_20250326_204905,359,1,20
session_20250326_204905,360,1,19
session_20250326_204905,361,1,16
session_20250326_204905,362,1,21
session_20250326_204905,363,1,23
session_20250326_204905,364,0,22
session_20250326_204905,365,1,24
session_20250326_204905,366,0,21
